,Time,Seconds,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
0,2023-01-18 19:01:56.155195,0.1,0.,0.,0.,0.,0.,0.
1,2023-01-18 19:01:57.910173,1.85,0.,0.,0.,0.,0.,0.
2,2023-01-18 19:01:58.007105,1.95,0.,0.,0.,0.,0.,0.
3,2023-01-18 19:01:58.073305,2.01,0.,0.,0.,0.,0.,0.
4,2023-01-18 19:01:58.134520,2.08,0.,0.,0.,0.,0.,0.
5,2023-01-18 19:01:58.201487,2.14,0.,0.,0.,0.,0.,0.
6,2023-01-18 19:01:58.267554,2.21,0.,0.,0.,0.,0.,0.
7,2023-01-18 19:01:58.333892,2.28,0.,0.,0.,0.,0.,0.
8,2023-01-18 19:01:58.400832,2.34,0.,0.,0.,0.,0.,0.
9,2023-01-18 19:01:58.466374,2.41,0.,0.,0.,0.,0.,0.
10,2023-01-18 19:01:58.531911,2.47,0.,0.,0.,0.,0.,0.
11,2023-01-18 19:01:58.598292,2.54,0.,0.,0.,0.,0.,0.
12,2023-01-18 19:01:58.664029,2.61,0.,0.,0.,0.,0.,0.
13,2023-01-18 19:01:58.730129,2.67,0.,0.,0.,0.,0.,0.
14,2023-01-18 19:01:59.291631,3.23,0.,0.,0.,0.,0.,0.
15,2023-01-18 19:01:59.423929,3.37,0.,0.,0.,0.,0.,0.
16,2023-01-18 19:01:59.554426,3.5,0.,0.,0.,0.,0.,0.
17,2023-01-18 19:01:59.688117,3.63,0.,0.,0.,0.,0.,0.
18,2023-01-18 19:01:59.819926,3.76,0.,0.,0.,0.,0.,0.
19,2023-01-18 19:01:59.984515,3.93,0.,0.,0.,0.,0.,0.
20,2023-01-18 19:02:00.117522,4.06,0.,0.,0.,0.,0.,0.
21,2023-01-18 19:02:00.248337,4.19,0.,0.,0.,0.,0.,0.
22,2023-01-18 19:02:00.381501,4.32,0.,0.,0.,0.,0.,0.
23,2023-01-18 19:02:00.513158,4.45,0.,0.,0.,0.,0.,0.
24,2023-01-18 19:02:00.679951,4.62,0.,0.,0.,0.,0.,0.
25,2023-01-18 19:02:00.845484,4.79,0.,0.,0.,0.,0.,0.
26,2023-01-18 19:02:00.976380,4.92,0.,0.,0.,0.,0.,0.
27,2023-01-18 19:02:01.141359,5.08,0.,0.,0.,0.,0.,0.
28,2023-01-18 19:02:01.271638,5.21,0.,0.,0.,0.,0.,0.
29,2023-01-18 19:02:01.404109,5.35,0.,0.,0.,0.,0.,0.
30,2023-01-18 19:02:01.535933,5.48,0.,0.,0.,0.,0.,0.
31,2023-01-18 19:02:01.667331,5.61,0.,0.,0.,0.,0.,0.
32,2023-01-18 19:02:01.799548,5.74,0.,0.,0.,0.,0.,0.
33,2023-01-18 19:02:01.965320,5.91,0.,0.,0.,0.,0.,0.
34,2023-01-18 19:02:02.095160,6.04,0.,0.,0.,0.,0.,0.
35,2023-01-18 19:02:02.228043,6.17,0.,0.,0.,0.,0.,0.
36,2023-01-18 19:02:02.393160,6.33,0.,0.,0.,0.,0.,0.
37,2023-01-18 19:02:02.560273,6.5,0.,0.,0.,0.,0.,0.
38,2023-01-18 19:02:02.690715,6.63,0.,0.,0.,0.,0.,0.
39,2023-01-18 19:02:02.825233,6.77,0.,0.,0.,0.,0.,0.
40,2023-01-18 19:02:02.989284,6.93,0.,0.,0.,0.,0.,0.
41,2023-01-18 19:02:03.119980,7.06,0.,0.,0.,0.,0.,0.
42,2023-01-18 19:02:03.284138,7.23,0.,0.,0.,0.,0.,0.
43,2023-01-18 19:02:03.416248,7.36,0.,0.,0.,0.,0.,0.
44,2023-01-18 19:02:03.549686,7.49,0.,0.,0.,0.,0.,0.
45,2023-01-18 19:02:03.681136,7.62,0.,0.,0.,0.,0.,0.
46,2023-01-18 19:02:03.814373,7.76,0.,0.,0.,0.,0.,0.
47,2023-01-18 19:02:03.979096,7.92,0.,0.,0.,0.,0.,0.
48,2023-01-18 19:02:04.144263,8.09,0.,0.,0.,0.,0.,0.
49,2023-01-18 19:02:04.273447,8.22,0.,0.,0.,0.,0.,0.
50,2023-01-18 19:02:04.442432,8.38,0.,0.,0.,0.,0.,0.
51,2023-01-18 19:02:04.568712,8.51,0.,0.,0.,0.,0.,0.
52,2023-01-18 19:02:04.736011,8.68,0.,0.,0.,0.,0.,0.
53,2023-01-18 19:02:04.867638,8.81,0.,0.,0.,0.,0.,0.
54,2023-01-18 19:02:04.968494,8.91,0.,0.,0.,0.,0.,0.
55,2023-01-18 19:02:05.099153,9.04,0.,0.,0.,0.,0.,0.
56,2023-01-18 19:02:05.265196,9.21,0.,0.,0.,0.,0.,0.
57,2023-01-18 19:02:05.396704,9.34,0.,0.,0.,0.,0.,0.
58,2023-01-18 19:02:05.528733,9.47,0.,0.,0.,0.,0.,0.
59,2023-01-18 19:02:05.694872,9.64,0.,0.,0.,0.,0.,0.
60,2023-01-18 19:02:05.826174,9.77,0.,0.,0.,0.,0.,0.
61,2023-01-18 19:02:05.992081,9.93,0.,0.,0.,0.,0.,0.
62,2023-01-18 19:02:06.154765,10.1,-32.,2.,15.,-14.,8.,30.
63,2023-01-18 19:02:06.299732,10.24,-35.,-2.,-2.,0.,0.,0.
64,2023-01-18 19:02:06.432952,10.37,0.,0.,0.,0.,0.,0.
65,2023-01-18 19:02:06.606879,10.55,13.,-1.,-2.,-12.,1.,33.
