,Unnamed: 0,Time,Seconds,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
0,186,2023-01-18 18:48:03.087369,27.74,-0.0,1.0,1.0,-12.0,-1.0,37.0
1,187,2023-01-18 18:48:03.252266,27.91,2.0,0.0,1.0,-12.0,-1.0,37.0
2,188,2023-01-18 18:48:03.382782,28.04,-1.0,0.0,-1.0,-12.0,-1.0,37.0
3,189,2023-01-18 18:48:03.548849,28.2,3.0,-0.0,9.0,-12.0,-1.0,37.0
4,190,2023-01-18 18:48:03.681475,28.34,3.0,-1.0,11.0,-12.0,-1.0,37.0
5,191,2023-01-18 18:48:03.813497,28.47,3.0,-1.0,12.0,-12.0,-1.0,37.0
6,192,2023-01-18 18:48:03.978922,28.63,3.0,-2.0,16.0,-12.0,-1.0,37.0
7,193,2023-01-18 18:48:04.143871,28.8,3.0,-2.0,17.0,-12.0,-1.0,36.0
8,194,2023-01-18 18:48:04.275722,28.93,2.0,-2.0,17.0,-12.0,-1.0,36.0
9,195,2023-01-18 18:48:04.407181,29.06,3.0,-1.0,15.0,-12.0,-1.0,36.0
10,196,2023-01-18 18:48:04.606281,29.26,3.0,-1.0,15.0,-12.0,-1.0,36.0
11,197,2023-01-18 18:48:04.770804,29.42,0.0,-0.0,13.0,-12.0,-1.0,36.0
12,198,2023-01-18 18:48:04.935854,29.59,0.0,0.0,13.0,-12.0,-1.0,36.0
13,199,2023-01-18 18:48:05.133236,29.79,3.0,-0.0,14.0,-12.0,-1.0,36.0
14,200,2023-01-18 18:48:05.297581,29.95,3.0,-0.0,13.0,-12.0,-1.0,36.0
15,201,2023-01-18 18:48:05.461594,30.12,3.0,1.0,-0.0,-12.0,-2.0,36.0
16,202,2023-01-18 18:48:05.627647,30.28,24.0,2.0,-3.0,-11.0,-3.0,38.0
17,203,2023-01-18 18:48:05.759266,30.41,27.0,0.0,-4.0,-12.0,-4.0,39.0
18,204,2023-01-18 18:48:05.891294,30.54,26.0,1.0,-1.0,-11.0,-4.0,39.0
19,205,2023-01-18 18:48:06.056578,30.71,26.0,-1.0,0.0,-11.0,-4.0,39.0
20,206,2023-01-18 18:48:06.188899,30.84,31.0,-0.0,-2.0,-11.0,-4.0,38.0
21,207,2023-01-18 18:48:06.418722,31.07,28.0,-1.0,-1.0,-11.0,-3.0,38.0
22,208,2023-01-18 18:48:06.549867,31.2,19.0,-1.0,-0.0,-11.0,-3.0,37.0
23,209,2023-01-18 18:48:06.717079,31.37,8.0,1.0,10.0,-11.0,-2.0,36.0
24,210,2023-01-18 18:48:06.849147,31.5,-12.0,2.0,1.0,-11.0,-1.0,35.0
25,211,2023-01-18 18:48:07.013870,31.67,-21.0,1.0,3.0,-11.0,0.0,35.0
26,212,2023-01-18 18:48:07.179567,31.83,-31.0,2.0,2.0,-11.0,1.0,35.0
27,213,2023-01-18 18:48:07.301721,31.96,-36.0,-1.0,3.0,0.0,0.0,0.0
28,214,2023-01-18 18:48:07.446660,32.1,-40.0,1.0,2.0,-11.0,3.0,34.0
29,215,2023-01-18 18:48:07.607937,32.26,-42.0,0.0,2.0,-11.0,3.0,34.0
30,216,2023-01-18 18:48:07.741256,32.39,-38.0,-1.0,3.0,-11.0,2.0,34.0
31,217,2023-01-18 18:48:07.905608,32.56,-31.0,-0.0,4.0,-11.0,2.0,34.0
32,218,2023-01-18 18:48:08.070391,32.72,-24.0,0.0,4.0,-11.0,1.0,34.0
33,219,2023-01-18 18:48:08.234280,32.89,-16.0,-1.0,6.0,-11.0,0.0,34.0
34,220,2023-01-18 18:48:08.366069,33.02,-11.0,-1.0,8.0,-11.0,-0.0,34.0
35,221,2023-01-18 18:48:08.497903,33.15,-7.0,-1.0,8.0,-11.0,-1.0,34.0
36,222,2023-01-18 18:48:08.629637,33.28,-4.0,-0.0,1.0,-11.0,-1.0,35.0
37,223,2023-01-18 18:48:08.762833,33.42,8.0,1.0,0.0,-11.0,-2.0,35.0
38,224,2023-01-18 18:48:08.927900,33.58,15.0,1.0,-4.0,-11.0,-3.0,36.0
39,225,2023-01-18 18:48:09.092456,33.75,22.0,-0.0,-5.0,-11.0,-3.0,37.0
40,226,2023-01-18 18:48:09.258372,33.91,25.0,-1.0,-4.0,-11.0,-4.0,38.0
41,227,2023-01-18 18:48:09.423374,34.08,24.0,-2.0,-1.0,-11.0,-4.0,38.0
42,228,2023-01-18 18:48:09.588290,34.24,25.0,-2.0,-4.0,-11.0,-4.0,38.0
43,229,2023-01-18 18:48:09.743519,34.4,26.0,-1.0,-3.0,0.0,0.0,0.0
44,230,2023-01-18 18:48:09.907984,34.56,26.0,-2.0,-2.0,0.0,0.0,0.0
45,231,2023-01-18 18:48:10.073569,34.73,25.0,-2.0,-1.0,0.0,0.0,0.0
46,232,2023-01-18 18:48:10.237926,34.89,26.0,-2.0,0.0,0.0,0.0,0.0
47,233,2023-01-18 18:48:10.404091,35.06,20.0,-2.0,1.0,0.0,0.0,0.0
48,234,2023-01-18 18:48:10.786071,35.44,-12.0,4.0,0.0,-11.0,-0.0,35.0
49,235,2023-01-18 18:48:10.941575,35.6,-26.0,4.0,-0.0,-11.0,1.0,35.0
50,236,2023-01-18 18:48:11.345864,36.0,-15.0,4.0,-6.0,-11.0,1.0,34.0
51,237,2023-01-18 18:48:11.501422,36.16,-23.0,4.0,-0.0,-11.0,1.0,34.0
52,238,2023-01-18 18:48:11.666133,36.32,-23.0,7.0,-6.0,-11.0,2.0,33.0
53,239,2023-01-18 18:48:11.821625,36.48,-25.0,8.0,-0.0,0.0,0.0,0.0
54,240,2023-01-18 18:48:11.967510,36.62,-29.0,11.0,-6.0,-11.0,2.0,32.0
55,241,2023-01-18 18:48:12.128976,36.78,-32.0,-10.0,5.0,-12.0,2.0,34.0
56,242,2023-01-18 18:48:12.294067,36.95,-33.0,-6.0,5.0,-12.0,3.0,35.0
57,243,2023-01-18 18:48:12.458882,37.11,-34.0,-1.0,9.0,-12.0,3.0,35.0
58,244,2023-01-18 18:48:12.623884,37.28,-33.0,-2.0,8.0,-12.0,2.0,35.0
59,245,2023-01-18 18:48:12.788788,37.44,-25.0,-1.0,9.0,-12.0,1.0,35.0
60,246,2023-01-18 18:48:12.988363,37.64,-23.0,-1.0,9.0,-12.0,1.0,35.0
61,247,2023-01-18 18:48:13.151803,37.81,-19.0,-2.0,9.0,-12.0,1.0,36.0
62,248,2023-01-18 18:48:13.283716,37.94,-14.0,-0.0,11.0,-12.0,0.0,36.0
63,249,2023-01-18 18:48:13.449393,38.1,-5.0,-2.0,17.0,-12.0,-0.0,36.0
64,250,2023-01-18 18:48:13.613781,38.27,-6.0,1.0,5.0,-12.0,-1.0,37.0
65,251,2023-01-18 18:48:13.778950,38.43,5.0,2.0,-1.0,-12.0,-2.0,37.0
66,252,2023-01-18 18:48:13.944858,38.6,17.0,1.0,-3.0,-12.0,-2.0,38.0
67,253,2023-01-18 18:48:14.075955,38.73,19.0,1.0,-3.0,-12.0,-3.0,39.0
68,254,2023-01-18 18:48:14.208341,38.86,22.0,1.0,-4.0,-12.0,-3.0,40.0
69,255,2023-01-18 18:48:14.340787,38.99,24.0,1.0,-2.0,-12.0,-4.0,41.0
70,256,2023-01-18 18:48:14.472215,39.13,24.0,2.0,-2.0,-12.0,-4.0,42.0
71,257,2023-01-18 18:48:14.636085,39.29,22.0,1.0,-2.0,-12.0,-4.0,42.0
