,Unnamed: 0,Time,Seconds,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
0,446,2023-01-18 19:03:03.154927,67.04,-10.0,4.0,-27.0,-46.0,-20.0,77.0
1,447,2023-01-18 19:03:03.298746,67.18,-9.0,0.0,-26.0,-45.0,-20.0,74.0
2,448,2023-01-18 19:03:03.455638,67.34,-14.0,5.0,-31.0,-45.0,-19.0,74.0
3,449,2023-01-18 19:03:03.610135,67.5,-13.0,5.0,-27.0,-45.0,-19.0,74.0
4,450,2023-01-18 19:03:03.762312,67.64,-13.0,4.0,-21.0,-45.0,-20.0,74.0
5,451,2023-01-18 19:03:03.923168,67.8,-9.0,4.0,-22.0,-45.0,-20.0,74.0
6,452,2023-01-18 19:03:04.103825,67.97,-12.0,3.0,-14.0,-45.0,-19.0,74.0
7,453,2023-01-18 19:03:04.245935,68.13,-14.0,2.0,-12.0,-45.0,-20.0,75.0
8,454,2023-01-18 19:03:04.421507,68.3,-14.0,3.0,-20.0,-45.0,-20.0,75.0
9,455,2023-01-18 19:03:04.569446,68.46,-16.0,3.0,-17.0,-46.0,-20.0,76.0
10,456,2023-01-18 19:03:04.724303,68.59,-12.0,3.0,-16.0,-46.0,-20.0,76.0
11,457,2023-01-18 19:03:04.879373,68.76,-8.0,4.0,-17.0,-46.0,-20.0,77.0
12,458,2023-01-18 19:03:05.033379,68.92,-7.0,4.0,-15.0,-46.0,-20.0,77.0
13,459,2023-01-18 19:03:05.194925,69.09,-5.0,4.0,-15.0,-46.0,-20.0,78.0
14,460,2023-01-18 19:03:05.328857,69.22,-6.0,3.0,-15.0,-46.0,-20.0,77.0
15,461,2023-01-18 19:03:05.460433,69.35,-3.0,3.0,-16.0,-46.0,-20.0,77.0
16,462,2023-01-18 19:03:05.641970,69.48,-4.0,3.0,-14.0,-46.0,-20.0,77.0
17,463,2023-01-18 19:03:05.790501,69.68,-4.0,3.0,-14.0,-46.0,-20.0,77.0
18,464,2023-01-18 19:03:05.921672,69.81,-6.0,3.0,-11.0,-46.0,-20.0,77.0
