Time,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
11.04,[   2.    3.    2.   65.   14. -236.]
11.1,[   2.    3.    2.   62.   14. -228.]
11.24,[   2.    3.    3.   62.   14. -227.]
11.3,[   1.    3.    3.   60.   13. -221.]
11.46,[   2.    3.   -3.   83.   20. -311.]
11.53,[   2.    2.  -11.   99.   25. -396.]
11.63,[   1.    2.  -21.   94.   27. -411.]
11.74,[  -1.    2.  -28.   73.   23. -351.]
11.84,[  -2.    3.  -31.   63.   22. -329.]
11.9,[   0.    3.  -32.   44.   17. -243.]
12.04,[   0.    3.  -32.   48.   19. -276.]
12.13,[   1.    4.  -32.   44.   19. -265.]
12.24,[   4.    3.  -33.   39.   18. -244.]
12.33,[   2.    5.  -36.   44.   20. -280.]
12.44,[   1.    6.  -37.   43.   20. -280.]
12.54,[   1.    6.  -33.   39.   18. -258.]
12.6,[   3.    6.  -33.   37.   18. -247.]
12.74,[  -0.    7.  -29.   36.   16. -233.]
12.8,[  -0.    7.  -31.   41.   17. -258.]
12.94,[   2.    5.  -26.   32.   13. -193.]
13.04,[  -6.    5.  -24.   29.   10. -158.]
13.1,[  -4.    1.  -22.   55.   16. -262.]
13.2,[  -0.    0.  -12.   55.   14. -236.]
13.27,[   2.    0.   -4.   55.   14. -225.]
13.4,[   4.    0.    2.   47.   12. -182.]
13.5,[   5.    1.    7.   44.   10. -159.]
13.59,[   6.    1.   11.   52.   11. -178.]
13.67,[   7.    2.   14.   77.   16. -249.]
13.8,[   9.    3.   16.   59.   12. -185.]
13.87,[  10.    3.   18.   71.   14. -217.]
13.97,[   9.    3.   19.   73.   14. -216.]
14.11,[   9.    4.   21.   62.   11. -180.]
14.23,[   9.    4.   22.   73.   13. -208.]
14.34,[  10.    4.   22.   69.   12. -194.]
14.43,[  12.    5.   20.   81.   15. -228.]
14.53,[  10.    4.   19.   84.   16. -240.]
14.64,[   8.    4.   17.   94.   17. -274.]
14.74,[   5.    4.   13.  101.   20. -310.]
14.83,[   3.    3.    8.  135.   29. -441.]
14.94,[   5.    4.   -1.  107.   26. -381.]
15.0,[   3.    2.   -3.   63.   16. -236.]
15.14,[   3.    3.   -8.   74.   20. -287.]
15.23,[   5.    3.   -9.   60.   17. -239.]
15.3,[   4.    4.   -7.   58.   16. -231.]
15.43,[   3.    4.   -5.   58.   16. -228.]
15.54,[   7.    4.   -7.   59.   19. -229.]
15.63,[  11.    4.   -7.   57.   21. -221.]
15.74,[  13.    5.   -7.   55.   22. -213.]
15.83,[  15.    4.   -8.   57.   25. -222.]
15.94,[  19.    5.   -8.   62.   28. -240.]
16.03,[  18.    5.   -9.   57.   27. -223.]
16.14,[  21.    5.  -10.   57.   28. -222.]
16.24,[  22.    6.  -10.   55.   27. -213.]
16.34,[  22.    5.  -10.   53.   27. -207.]
16.44,[  23.    5.  -10.   55.   28. -213.]
16.54,[  25.    4.  -10.   57.   29. -221.]
16.64,[  23.    6.  -10.   57.   29. -221.]
16.77,[  22.    5.   -8.   53.   26. -206.]
16.87,[  18.    4.   -7.   53.   24. -204.]
16.94,[  17.    5.   -7.   58.   25. -224.]
17.07,[  13.    3.   -5.   55.   20. -208.]
17.16,[   9.    4.   -4.   64.   21. -241.]
17.27,[   4.    3.   -4.   67.   19. -256.]
17.37,[  -0.    3.   -5.   67.   16. -258.]
17.47,[  -5.    2.   -7.   61.   12. -238.]
17.57,[  -9.    2.   -8.   59.   10. -231.]
17.67,[ -13.    2.  -11.   65.    9. -252.]
17.77,[ -15.    2.  -11.   62.    7. -240.]
17.83,[ -15.    2.   -8.   56.    5. -217.]
17.97,[ -19.    3.  -11.   65.    4. -250.]
18.07,[ -21.    2.  -12.   63.    3. -241.]
18.17,[ -22.    3.  -12.   64.    2. -245.]
18.27,[ -24.    3.  -12.   66.    1. -255.]
18.37,[ -25.    3.  -12.   63.    0. -243.]
18.46,[ -24.    3.  -12.   63.   -0. -242.]
18.57,[ -26.    4.  -13.   63.   -1. -244.]
18.64,[ -25.    4.  -11.   58.   -1. -224.]
18.73,[ -26.    3.  -11.   63.   -2. -243.]
18.87,[ -28.    4.  -12.   65.   -3. -251.]
18.97,[ -27.    3.  -12.   60.   -3. -233.]
19.07,[ -26.    4.  -12.   63.   -3. -242.]
19.16,[ -25.    4.  -11.   63.   -3. -242.]
19.27,[ -26.    3.  -10.   60.   -3. -231.]
19.36,[ -25.    2.  -10.   60.   -2. -229.]
19.46,[ -27.    3.  -10.   63.   -2. -241.]
19.57,[ -27.    3.  -11.   63.   -2. -241.]
19.69,[ -26.    2.  -11.   62.   -2. -238.]
19.8,[ -26.    2.  -11.   65.   -2. -249.]
19.9,[ -26.    2.  -10.   60.   -1. -230.]
20.0,[ -26.    2.  -11.   63.   -1. -239.]
20.1,[ -24.    2.  -11.   66.   -2. -250.]
20.17,[ -24.    2.  -10.   64.   -2. -242.]
20.3,[ -22.    2.  -10.   63.   -1. -240.]
20.37,[ -20.    2.   -7.   67.   -1. -251.]
20.5,[ -19.    2.   -6.   66.   -0. -249.]
20.6,[ -20.    2.   -9.   65.   -0. -250.]
20.66,[ -19.    2.   -8.   62.   -0. -239.]
20.8,[ -20.    2.   -9.   61.   -0. -234.]
20.87,[ -20.    2.   -9.   62.   -0. -241.]
21.0,[ -21.    2.  -10.   62.   -1. -241.]
21.07,[ -20.    2.  -11.   62.   -1. -242.]
21.2,[ -19.    2.  -10.   60.   -1. -232.]
