Time,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
11.13,[   2.    3.    1.   65.   14. -237.]
11.24,[   3.    3.    2.   62.   14. -227.]
11.33,[   2.    3.    2.   62.   14. -227.]
11.43,[   3.    3.   -1.   61.   14. -229.]
11.54,[   2.    3.  -11.  106.   27. -424.]
11.6,[   1.    2.  -18.   56.   16. -245.]
11.74,[  -0.    2.  -28.   76.   25. -366.]
11.84,[  -1.    2.  -32.   66.   23. -345.]
11.93,[  -1.    3.  -32.   54.   21. -300.]
12.04,[   1.    3.  -31.   43.   18. -252.]
12.1,[   1.    4.  -35.   43.   18. -256.]
12.24,[   0.    5.  -36.   43.   19. -268.]
12.3,[  -1.    6.  -37.   39.   18. -250.]
12.44,[   2.    6.  -36.   41.   19. -268.]
12.53,[   1.    7.  -34.   39.   18. -258.]
12.63,[   4.    6.  -31.   31.   15. -208.]
12.74,[  -1.    7.  -29.   36.   16. -232.]
12.83,[   0.    6.  -31.   41.   17. -258.]
12.94,[   2.    5.  -24.   30.   12. -182.]
13.04,[  -7.    4.  -24.   28.    9. -154.]
13.13,[  -3.    1.  -17.   33.   10. -159.]
13.2,[  -1.    0.  -12.   57.   15. -246.]
13.3,[   1.    1.   -4.   44.   11. -180.]
13.37,[   4.    0.    1.   58.   14. -223.]
13.5,[   4.    0.    8.   45.   10. -165.]
13.57,[   7.    1.   11.   65.   14. -223.]
13.7,[  10.    3.   15.   53.   11. -174.]
13.8,[  10.    3.   17.   57.   12. -178.]
13.9,[   9.    3.   19.   64.   12. -195.]
14.0,[  10.    3.   20.   61.   11. -181.]
14.1,[   9.    3.   21.   62.   11. -180.]
14.23,[   8.    4.   22.   73.   13. -208.]
14.34,[   9.    4.   22.   69.   12. -195.]
14.4,[  11.    5.   21.   79.   14. -221.]
14.53,[  10.    4.   19.   91.   17. -262.]
14.64,[   8.    4.   16.   94.   17. -274.]
14.74,[   5.    4.   13.  101.   20. -310.]
14.8,[   6.    4.    9.   73.   16. -239.]
14.94,[   4.    3.   -0.  108.   26. -385.]
15.03,[   1.    2.   -3.   75.   19. -281.]
15.14,[   3.    3.   -7.   70.   19. -272.]
15.2,[   4.    3.   -8.   58.   16. -230.]
15.33,[   3.    3.   -6.   54.   15. -215.]
15.43,[   3.    4.   -5.   58.   16. -228.]
15.54,[   8.    4.   -7.   59.   19. -229.]
15.64,[  11.    4.   -8.   57.   21. -221.]
15.74,[  13.    4.   -7.   57.   23. -221.]
15.84,[  15.    4.   -8.   57.   25. -222.]
15.94,[  19.    5.   -8.   62.   28. -240.]
16.0,[  19.    5.   -9.   55.   26. -215.]
16.14,[  22.    5.  -10.   55.   27. -214.]
16.23,[  23.    5.  -10.   55.   27. -213.]
16.34,[  22.    5.  -11.   51.   26. -200.]
16.44,[  23.    5.  -10.   55.   28. -212.]
16.54,[  24.    5.  -10.   58.   29. -222.]
16.64,[  24.    5.  -10.   60.   30. -232.]
16.77,[  22.    5.   -8.   55.   27. -214.]
16.87,[  18.    4.   -8.   55.   25. -213.]
16.96,[  16.    5.   -6.   58.   24. -221.]
17.07,[  13.    3.   -5.   56.   21. -215.]
17.13,[   9.    4.   -3.   59.   20. -225.]
17.27,[   2.    3.   -5.   71.   20. -271.]
17.37,[  -0.    3.   -5.   69.   17. -267.]
17.47,[  -5.    2.   -7.   61.   12. -238.]
17.57,[  -9.    2.   -8.   59.   10. -231.]
17.67,[ -13.    2.  -11.   65.    9. -252.]
17.77,[ -15.    2.  -11.   62.    7. -240.]
17.87,[ -17.    2.  -11.   60.    5. -232.]
17.97,[ -19.    3.  -11.   61.    4. -233.]
18.07,[ -21.    2.  -13.   63.    3. -243.]
18.17,[ -22.    3.  -12.   63.    2. -243.]
18.27,[ -24.    3.  -12.   66.    1. -255.]
18.37,[ -25.    3.  -12.   63.    0. -243.]
18.47,[ -24.    3.  -12.   63.   -0. -242.]
18.57,[ -26.    4.  -13.   63.   -1. -244.]
18.66,[ -26.    4.  -12.   63.   -1. -241.]
18.76,[ -27.    3.  -12.   63.   -2. -243.]
18.87,[ -27.    4.  -12.   62.   -3. -241.]
18.97,[ -27.    3.  -12.   61.   -3. -235.]
19.03,[ -26.    3.  -12.   61.   -3. -235.]
19.13,[ -25.    3.  -12.   63.   -3. -242.]
19.27,[ -26.    3.  -10.   61.   -3. -233.]
19.33,[ -25.    3.  -10.   63.   -2. -240.]
19.43,[ -26.    2.  -10.   64.   -2. -243.]
19.57,[ -26.    2.  -11.   63.   -2. -241.]
19.69,[ -26.    2.  -11.   62.   -2. -238.]
19.8,[ -26.    2.  -11.   65.   -2. -249.]
19.87,[ -25.    2.  -10.   60.   -1. -230.]
19.96,[ -26.    2.  -11.   63.   -1. -241.]
20.07,[ -24.    2.  -11.   63.   -1. -240.]
20.2,[ -24.    2.  -10.   67.   -2. -252.]
20.3,[ -22.    2.   -8.   61.   -1. -230.]
20.39,[ -20.    2.   -6.   64.   -1. -240.]
20.5,[ -19.    2.   -6.   64.   -0. -241.]
20.6,[ -19.    2.   -7.   62.   -0. -239.]
20.7,[ -20.    2.   -9.   64.   -0. -247.]
20.8,[ -20.    2.   -9.   60.   -0. -233.]
20.9,[ -20.    2.  -10.   65.   -0. -252.]
21.0,[ -21.    2.  -10.   62.   -1. -241.]
21.1,[ -21.    2.  -10.   62.   -1. -242.]
21.17,[ -20.    3.  -11.   62.   -1. -242.]
21.3,[ -21.    2.  -11.   59.   -1. -232.]
21.37,[ -20.    2.  -11.   60.   -1. -232.]
21.5,[ -21.    2.  -11.   60.   -1. -232.]
21.57,[ -20.    2.  -10.   63.   -1. -243.]
21.7,[ -20.    2.  -10.   65.   -1. -251.]
21.8,[ -18.    2.   -8.   59.   -1. -228.]
21.9,[ -18.    2.   -8.   64.   -0. -247.]
22.0,[ -19.    2.  -10.   64.   -0. -249.]
22.1,[ -19.    2.  -11.   58.   -0. -224.]
22.2,[ -19.    2.  -11.   60.    0. -231.]
22.27,[ -18.    2.  -11.   59.    0. -230.]
